Entrée;Plat principal;Garniture;Produit laitier ou divers;Dessert
Salade de coquillettes au thon;Rôti de dinde sauce forestière;Carottes;Coulommiers;Glace vanille
Salade vinaigrette et dés de Cantal AOP;Rôti de dinde sauce forestière;Semoule;;Purée de pommes
Rillettes de thon et pain de mie;Rôti de dinde sauce fromage frais potiron;Riz;Coulommiers;Poire
Melon;Rôti de dinde sauce miel poivron;Gratin de chou-fleur et pommes de terre;;Glace au chocolat
Betteraves vinaigrette;Rôti de dinde sauce miel poivron;Printanière de légumes;;Yaourt à la framboise
Taboulé;Rôti de dinde sauce miel poivron;Haricots verts;Emmental;Banane
Betteraves vinaigrette;Rôti de dinde sauce miel/poivron;Carottes et lentilles;Yaourt nature sucré;
;Rôti de dinde sauce miel/poivron;Chou fleur et riz;Fol Epi;Banane
Carottes râpées à l'orange;Rôti de dinde sauce miroton;Tortis;Yaourt aromatisé;
Soupe de potiron et châtaigne;Rôti de dinde sauce miroton;Riz;Carré;Kiwi
Cake au curcuma;Rôti de dinde sauce miroton (jus tomaté);Carottes;Coulommiers;Raisin
Houmous de lentilles corail;Rôti de dinde sauce moutarde;Haricots verts;Port Salut;Banane
Carottes râpées;Rôti de dinde sauce moutarde;Lentilles mijotées au lait;Fromage blanc et coulis de fruits rouges;
Concombre vinaigrette et dés de Cantal AOP;Rôti de dinde sauce Normande;Purée de pommes de terre;;Compote pomme/abricot
;Rôti de dinde sauce normande;Purée de carottes;Saint-nectaire AOP;Banane
Betteraves et endives vinaigrette;Rôti de dinde sauce normande;Pomme smile;;Lacté vanille
Saucisson à l'ail;Rôti de dindonneau sauce moutarde;Carottes;Riz au lait entier;Petit Beurre
;Roti de porc;Purée de pommes;Fromage à tartiner;Banane
Concombre sauce Bulgare;Rôti de porc;Compote de pommes chaude;Vache Qui Rit;Eclair au chocolat
Tartine surimi - paprika;Rôti de porc;Compote de pommes chaude;Carré;Lacté vanille
Lentilles vinaigrette;Rôti de porc;Compotes de pommes;Yaourt Malo à la vanille;Madeleine
Salade coleslaw;Rôti de porc;Compote de pommes chaude;Liégeois au chocolat;Biscuit éventail
Quiche potiron, marron, oignon;Rôti de porc;Haricots verts;Gouda;Flan nappé caramel
Feuilleté au fromage;Rôti de porc;Petits pois;Yaourt Malo à la vanille;Cerises
Accras de morue;Rôti de porc;Compote de pommes chaude;Emmental;Flan nappé au caramel
Tartine surimi-paprika;Rôti de porc;Compote de pommes chaude;Edam;Beignet au chocolat
Potage de légumes;Rôti de porc;Compote de pomme chaude;Emmental;Beignet au chocolat
Carottes râpées vinaigrette;Rôti de porc;Pommes smile;Coulommiers;Gâteau à la patate douce
Carottes râpées au miel;Rôti de porc;Compote de pommes;P'tit Louis;Lacté vanille
Cake aux algues;Rôti de porc;Compote de pommes chaude;Yaourt Malo à la vanille;Gavottes
Betteraves vinaigrette;Rôti de porc;Compote de pommes chaude;Mousse au chocolat;Biscuit Russe
Tartine surimi-paprika;Rôti de porc;Compote de pommes;Fol Epi;Eclair au chocolat
Potage de légumes;Rôti de porc;Compote de pomme chaude;Emmental;Beignet au chocolat
Pizza reine;Rôti de porc;Carottes;Vaque Qui Rit;Compote allégée pomme-vanille
Tartine surimi-paprika;Rôti de porc;Compote de pommes chaude;Fromage blanc;Oréo
Œuf dur mayonnaise;Rôti de porc;Compote de pommes chaude;Petit Suisse;Fraises
Tartine thon-ciboulette;Rôti de porc;Haricots vert;Fromage blanc et coulis de fruits exotiques;
Cake salé;Rôti de porc;Compote de pommes chaude;Petit Filou;Beignet au chocolat
Bouillon alphabet;Rôti de porc;Compote de pommes;Fromage frais demi-sel;Flan nappé caramel
Feuilleté au fromage;Rôti de porc;Printanière de légumes;Carré;Compote allégée pomme-banane
Crêpe au fromage;Rôti de porc;Petits pois;Yaourt Malo à la vanille;Nectarine
Salade et dés d'emmental;Rôti de porc;Compote de pommes chaude;;Semoule au lait
Tartine thon-ciboulette;Rôti de porc;Compote de pommes chaude;Fol Epi;Mousse au chocolat
Accras de morue;Rôti de porc;Compote de pommes chaude;Emmental;Beignet au chocolat
Endives aux raisins et vinaigrette crémeuse;Rôti de porc;Compote de pommes;Fromage blanc;Muesli croustillant
Tartine thon-ciboulette;Rôti de porc;Compote de pommes chaude;Fol Epi;Liégeois au chocolat
Rillettes sardine tomatées;Rôti de porc;Compote de pommes chaude;Carré;Crêpe
Tomates et dés de mimolette;Rôti de porc;Compote de pommes chaude;;Riz au lait
Salade, maïs, emmental et croûtons;Rôti de porc;Compote de pommes chaude;;Riz au lait
Tartine surimi-paprika;Rôti de porc;Compote de pommes;Fromage blanc et coulis de figues;Biscuit palmier
Accras de morue;Rôti de porc;Compote de pommes;Comté;Crème dessert à la vanille
Salade coleslaw;Rôti de porc;Compote de pomme chaude;Rondelé;Beignet au chocolat
Carottes râpées à la vanille;Rôti de porc;Compotes de pommes;P'tit Louis;Chou vanille sauce chocolat
Salade de pépinettes;Rôti de porc;Compote de pommes chaude;Saint Paulin;Madeleine
Lentilles vinaigrette;Rôti de porc;Compotes de pommes;Yaourt Malo à la vanille;Madeleine
Salade de pommes de terre, maquereaux, moutarde à l'ancienne;Rôti de porc;Compote de pommes chaude;Camembert;Clémentine
Salade de coquillettes au thon;Rôti de Porc;Compote de pommes chaude;Yaourt Malo à la vanille;Gavottes
Tartine thon-ciboulette;Rôti de porc;Compotes de pommes;Yaourt aromatisé;"Fruit de saison ""Prune"""
Carottes râpées et dés d'emmental;Rôti de porc;Compote de pommes chaudes;;Semoule au lait
Tartine thon-ciboulette;Rôti de porc;Compote de pommes chaude;Emmental;Eclair au chocolat
Cake salé;Rôti de porc;Compote de pommes chaude;Petit Filou;Beignet au chocolat
Betteraves vinaigrette;Rôti de porc;Compote de pommes chaude;Mélusin;Beignet au chocolat
Accras de morue;Rôti de porc;Compote de pommes chaude;Fromage blanc et coulis de fraise;
Tartine surimi-paprika;Rôti de porc;Compote de pommes;Fol Epi;Crème dessert vanille
Carottes râpées vinaigrette;Rôti de porc;Petits pois;Emmental;Crêpe
Potage de légumes et lentilles vertes;Rôti de porc;Compote de pommes;Camembert;Mousse au chocolat
;Rôti de porc;Compote de pommes chaudes;Gouda;Crêpe
Carottes râpées vinaigrette;Rôti de porc;"Pommes ""paillasson""";Emmental;Compote de pommes
;Rôti de porc;Compote de pommes chaude;Petit roulé;Moelleux chocolat lentilles
Mâche vinaigrette et dés de cantal AOP;Rôti de porc;Compote de pommes chaude;;Semoule au lait
Bouillon alphabet;Rôti de porc;Compote de pommes;Chaussée aux moines;Clémentine
Crêpe au fromage;Rôti de porc;Compote de pommes chaude;Saint-Nectaire;Banane
Cake au blé noir;Rôti de porc;Chou-fleur béchamel;Saint-Nectaire;Pomme
;Rôti de porc;Chou-fleur béchamel;Saint Paulin;Cake pois chiche-cacao
Salade de perles;Rôti de porc;Compote de pommes chaude;Pont l'Evêque;Banane
Salade de coquillettes au pesto rouge;Rôti de porc;Compote de pommes;Port Salut;Cerises
Velouté de potiron et lentilles corail;Rôti de porc;Compote de pommes chaude;Pont l'Evêque;Kiwi
Salade de riz;Rôti de porc;Compote de pommes chaude;;Yaourt Malo vanille
Potage de légumes et pâtes vermicelles;Rôti de porc;Chou-fleur béchamel;Emmental;Clémentine
Potage de légumes et pâtes alphabet;Rôti de porc;Compote de pommes chaude;Gouda;Orange
Tartinade de haricots blancs;Rôti de porc;Compote de pommes chaude;Pont l'Evêque;Banane
Salade de lentilles aux lardons;Rôti de porc;Haricots verts;Pont L'Evêque;Mangue
Salade de pâtes à la grecque;Rôti de porc;Aubergine sauce tomate;Chaussée aux moines;Abricot
Crêpe au fromage;Rôti de porc;Compote de pommes chaude;Saint Paulin;Banane
Concombre et cantal;Rôti de porc à la moutarde;Semoule;;Glace
;Rôti de porc à la moutarde;Purée de pommes de terre;Yaourt aromatisé;Poire
Tartine houmous pesto;Rôti de porc à la moutarde;Purée de légumes;Yaourt aux fruits mixés;Cerises
Carottes râpées vinaigrette et dés d'emmental;Rôti de porc à la moutarde;Petits pois;;Riz au lait
Carottes râpées et Cantal AOP;Rôti de porc à la moutarde;Haricots verts;;Riz au lait
Salade de betteraves-maïs-œuf;Rôti de porc au jus;Purée de pommes de terre;Fromage blanc;Coulis de fraises
;Rôti de porc au jus;Chou-fleur et pommes de terre aux épices;Yaourt nature sucré;Raisin
Velouté de chou-fleur à l'indienne au fromage frais;Rôti de porc au jus;;;
;Rôti de porc au jus;Petits pois fermière;Coulommiers;Gâteau pois chiche chocolat blanc
Velouté de chou-fleur à l'indienne au fromage frais;Rôti de porc au jus;;;
Velouté de chou-fleur à l'indienne au fromage frais;Rôti de porc au jus;;;
Salade de fèves, petits pois, menthe, et brebis;Rôti de porc froid;Compote de pommes chaude;;Riz au lait
Carottes râpées et dés d'emmental;Rôti de porc froid;Petits pois;;Riz au lait
Salade Bio et dés de Cantal AOP;Rôti de porc Label Rouge;Compote de pommes Bio;;Riz au lait
;Rôti de porc Label Rouge à la moutarde;Pommes de terre Bio et haricots verts;Gouda;Banane Bio Commerce Equitable
;Rôti de porc Label Rouge au jus;Purée de carottes;Yaourt nature sucré Bio;Pomme Bio
Carottes et dés d'emmental;Rôti de porc LR froid;Petits pois;;Riz au lait
Velouté de légumes verts et fromage frais;Rôti de porc sauce charcutière;Lentilles;;Banane
Carottes râpées et dés d'emmental;Rôti de porc sauce charcutière;Haricots verts;;Polenta crèmeuse au chocolat blanc
Velouté Dubarry et fromage râpé;Rôti de porc sauce miroton;Riz;;Poire
Coquillettes aux maquereaux;Rôti de porc sauce moutarde;Brocolis à la Vache Qui Rit;Gouda;Crème chocolat-noisette
Betteraves vinaigrette;Rôti de porc sauce moutarde;Purée de pommes de terre;Gouda;Ananas
Salade et dés d'emmental;Rougail de saucisse;Riz;;Clafoutis ananas-coco
Carottes râpées au citron vert;Rougail saucisse;Riz;Yaourt aux fruits mixés;Pomme
Carottes râpées vinaigrette;Rougail saucisse;Riz;Emmental;Flan nappé caramel
;Salade de coquillettes au thon;;Gouda;Fraises
;Salade de coquillettes au thon;;Gouda;Nectarine
Melon;Salade de riz;;;Glace
Melon;Salade de riz;;;Glace
Chou blanc vinaigrette soja sésame;Samoussa;Riz;Gouda;Smoothie ananas-passion et biscuit coco
Salade de chou blanc, carottes et graines de sésame;Samoussa de poulet et ketchup;Riz;Yaourt nature Les Vergers  et dés de mangue;
;Sandwich;Chips;Emmental;Fruit + Biscuit
;Sandwich;Chips;Fol Epi;Pomme et Petit Beurre
;Sandwich;Chips;Emmental;Fruit + Biscuit
;Sandwich;Chips;Gouda;Madeleine
;Sandwich;Chips;;Compote à boire et Petit Beurre
;Sandwich;Chips;Emmental;Fruit + Biscuit
;Sandwich;Chips;Emmental;Madeleine
;Sandwich;Chips;;Compote de pommes à boire et Petit beurre
;Sandwich au poulet;Chips;Pomme;Petit Beurre
;Sandwich au thon;Chips;Emmental;Banane + Biscuit
;Sandwich au thon;Chips;Emmental;Banane + Biscuit
;Sandwich jambon/emmental;Chips;;Compote à boire
;Sandwich jambon-fromage;Chips;Emmental + Compote de pommes à boire;Biscuit Rem
;Sandwich œuf, emmental, tomate, salade mayonnaise;Chips;Yaourt à boire;Banane
;Sandwich Rillette de poulet;Chips;Emmental;Banane Bio CE
;Sandwich thon/emmental;Chips;;Banane
;Sandwich thon/emmental;Chips;;Banane
;Sandwich viennois au poulet;Chips;Emmental;Banane + Biscuit
;Sandwich viennois au poulet;Chips;Compote de pomme à boire;Petit Beurre
;Sandwich viennois au poulet;Chips;Emmental;Banane + Biscuit
Melon;Sauce 3 fromages (gorgonzola, parmesan, mozzarella);Tortis;Yaourt Vrai framboise;
Radis beurre;Sauce carbonara;Macaronis semi-complets;Yaourt nature  Les Vergers et sucre;
Pastèque;Sauce lentilles vertes;Penne semi-complète;Flan Malo chocolat;
Carottes râpées;Saucisse;Purée de pomme de terre;Yaourt nature sucré;Kiwi
Salade Iceberg;Saucisse;Purée de pommes de terre;P'tit Louis tartine;Kiwi
Carottes râpées;Saucisse;Purée de pommes de terre;Yaourt Malo à la vanille;Biscuit Russe
Tomates vinaigrette;Saucisse;Frites;Rondelé;Compote allégée pomme-coing
Potage de légumes;Saucisse;Purée de pommes de terre;Yaourt aromatisé;Poire
Tomates vinaigrette ciboulette;Saucisse;Purée de pommes de terre;Brie;Kiwi
Carottes râpées sauce vinaigrette au miel;Saucisse;Lentilles;;Fromage blanc Caracrousti
Carottes râpées vinaigrette;Saucisse;Purée de pommes de terre;Coulommiers;Abricots
Carottes râpées vinaigrette;Saucisse;Purée de pommes de terre;Brie;Compote allégée de pommes
Tomates vinaigrette;Saucisse;Purée de pommes de terre;Mélusin;Nectarine
;Saucisse;Purée de carottes;Yaourt aux fruits mixés;Banane
Avocat et œuf dur;Saucisse;Purée de pommes de terre;;Lacté saveur vanille
Velouté de potiron;Saucisse;Carottes et lentilles;Cantal;Orange
Houmous de betteraves et gressin;Saucisse;Carottes/ Lentilles;Saint Nectaire;Nectarine
Carottes râpées vinaigrette agrumes et cannelle;Saucisse;Petits pois et pommes de terre;Mimolette;Compote pomme poire à la cardamome
Velouté de butternut;Saucisse;Carottes/ Riz tomaté;Cantal AOP;Kiwi
Soupe de brocolis mascarpone;Saucisse;Carottes et lentilles;Pont l'Evêque;Poire
Salade de pommes de terre et œuf dur;Saucisse;Jardinière de légumes;Dessert végétal soja au chocolat;Kiwi
Macédoine mayonnaise;Saucisse;Purée de potiron;Camembert;Poire
Salade de chou-fleur au maïs;Saucisse;Purée de légumes;Edam;Mangue
Soupe de chou vert;Saucisse;Carottes et crozets de sarrasin;Port-Salut;Kiwi
Melon;Saucisse;Purée de pommes de terre;Yaourt Malo vanille;
Betteraves vinaigrette;Saucisse BBC;Purée de potiron;Chaussé aux moines;Pomme
Betteraves vinaigrette;Saucisse BBC;Carottes / Lentilles;Saint-Nectaire;Pomme
Carottes râpées vinaigrette;Saucisse Bleu Blanc Cœur;Purée de pommes de terre;Edam;Pêche
Melon;Saucisse Bleu Blanc Cœur;Lentilles;Yaourt nature sucré Le P'tit Gallo;Banane
Avocat sauce cocktail;Saucisse de Dinan;Lentilles;Emmental;Mousse au chocolat
Concombre vinaigrette;Saucisse de Dinan;Purée de pommes de terre;Kiri;Compote de pomme
Concombre vinaigrette;Saucisse de Dinan;Purée de pommes de terre;Mélusin;Kiwi
Coleslaw vinaigrette aigre douce à l'huile de sésame;Saucisse de Dinan;Macaronis semi-complètes;Emmental râpé;Clémentine
Melon;Saucisse de Dinan;Tortis;Cheddar et mozzarella râpés;Cake framboise et chocolat
Carottes râpées vinaigrette;Saucisse de Strasbourg;Lentilles;Fol Epi;Compote allégée de pomme
Carottes râpées à l'orange;Saucisse de Strasbourg;Lentilles;Coulommiers;Entremets chocolat
Potage de légumes;Saucisse de volaille;Lentilles;Yaourt aromatisé;Clémentine
Betteraves vinaigrette;Saucisse de volaille;Pommes paillasson;Mélusin;Flan nappé caramel
Salade Iceberg et croûtons;Saucisse de volaille;Lentilles au jus;Camembert;Compote de pommes-bananes allégée
Tomates vinaigrette;Saucisse de volaille;Lentilles;Edam;Tarte aux pommes
Salade Iceberg vinaigrette à la mangue;Saucisse de volaille;Purée de pommes de terre;;Ile flottante
Bouillon alphabet;Saucisse de volaille;Lentilles;Yaourt aromatisé;"Fruit de saison ""Poire"""
Betteraves vinaigrette;Saucisse de volaille;Lentilles au jus;Coulommiers;Compote allégée pommes-bananes
Salade Iceberg vinaigrette à la mangue;Saucisse de volaille;Purée de pommes de terre;;Ile flottante
Jus d'orange/ Carottes et céleris râpés;Saucisses;Frites;Cheddar;Pudding
Salade et mozzarella;Saucisses façon rougail;Riz;;Purée de poire
Tomates vinaigrette;Saumon au beurre blanc;Riz créole;Tomme noire;Compote allégée de pomme banane
Guacamole;Saumon sauce citron;Purée de chou-fleur;Yaourt Vrai vanille;
Carottes râpées;Saumon sauce crème;Riz;Yaourt framboise;
Radis green meat râpé vinaigrette;Saumon sauce persane;Semoule;Yaourts aux fruits mixés;
Salade d'endives, pomme granny et mimolette;Saumon sauce persane;Semoule;Yaourt bio Vrai framboise;
;Sauté d'agneau;Carottes-Flageolets;Fromage à tartiner;Orange
;Sauté d'agneau;Carottes et haricots blancs;Petit Roulé;Orange
;Sauté d'agneau à l'orientale;Carottes et semoule;Tomme noire;Pomme
;Sauté d'agneau aux épices;Panais et Pommes de terre;Petit Roulé;Banane
;Sauté d'agneau aux épices;Haricot vert et pommes de terre;Petit roulé;Banane
;Sauté d'agneau aux épices;Légumes de couscous;Fromage à tartiner;Orange Global Gap
;Sauté d'agneau sauce tomate paprika;Haricots verts / flageolets;Fromage roulé Fol Epi;Clémentine
Carottes râpées vinaigrette;Sauté de bœuf;Purée de potiron;Camembert;Eclair au chocolat
Salade iceberg;Sauté de bœuf;Pomme paillasson;Coulommiers;Galette des rois
Carottes râpées vinaigrette;Sauté de bœuf;Semoule;Fromage blanc;Coulis de fruits exotiques
Soupe de courgettes au fromage fondu;Sauté de bœuf  jus aux oignons;Penne semi-complète;Pointe de brie;Banane
Concombre vinaigrette;Sauté de bœuf  jus aux oignons;Pomme paillasson;Brie;Purée pomme-poire
;Sauté de bœuf à la provençale;Pâtes aux œufs Bio;Petit Roulé;Nectarine
;Sauté de bœuf à la provençale;Gratin de brocolis et de pommes de terre;Yaourt aromatisé;Pêche
;Sauté de bœuf à la provençale;Gratin de brocolis et de pommes de terre;Yaourt aromatisé;Pêche
Salade Iceberg;Sauté de bœuf au curry;Haricots verts;Cantal;Mousse au chocolat
;Sauté de bœuf au curry;Riz;Coulommiers;Pomme
;Sauté de bœuf au curry;Torti;Gouda;Raisin
Salade et mozzarella;Sauté de bœuf au curry;Pommes paillasson;;Yaourt aux fruits mixés
;Sauté de bœuf au curry;Pomme smile;Yaourt aux fruits mixés;Poire
;Sauté de bœuf au curry;Pommes smiles;Coulommiers;Banane
Carottes râpées et dés d'emmental;Sauté de bœuf au curry;Petits pois;;Galette des rois
Carottes râpées vinaigrette;Sauté de bœuf au curry;Riz Bio et courgette;Yaourt nature sucré;
;Sauté de bœuf au curry;Petits pois et coquillettes;Yaourt brassé sucré;Raisin
Piémontaise;Sauté de bœuf au paprika;Gratin de chou-fleur;Carré;Donut
Salade de lentilles à l'échalote;Sauté de bœuf au paprika;Haricots beurre;Cantal;Madeleine
Salade iceberg et croûtons;Sauté de bœuf au paprika;Tortis;Coulommiers;Compote allégée de pomme
Pâté de campagne;Sauté de bœuf au paprika;"Pomme ""paillasson""";Fromage blanc sucré;Cerise
;Sauté de bœuf aux carottes;Riz et petits pois;Yaourt aromatisé;Nectarine
;Sauté de bœuf aux carottes;Pommes paillasson;Fromage Petit Roulé;Abricots
Salade Coleslaw;Sauté de bœuf façon tajine;Semoule;Fromage blanc sucré;
;Sauté de Bœuf local façon Goulash;Pomme paillasson;Yaourt nature sucré Bio;Poire Bio
;Sauté de Bœuf local sauce provençale;Pomme smile;Fromage frais aux fruits;Kiwi
;Sauté de bœuf sauce antillaise;Carottes et haricots blancs;Yaourt nature sucré;Pomme
;Sauté de bœuf sauce antillaise;Jardinière de légumes et pommes de terre;Yaourt à la vanille;Prune
Œuf dur mayonnaise;Sauté de bœuf sauce barbecue;Ratatouille;Camembert;Liégeois au chocolat
Concombres vinaigrette;Sauté de bœuf sauce barbecue;Haricots beurre;Rondelé;Beignet aux pommes
Œuf dur mayonnaise;Sauté de bœuf sauce barbecue;Gratin de brocolis;Tomme noire;Liégeois au chocolat
;Sauté de bœuf sauce barbecue;Gratin de brocolis / pommes de terre;Yaourt aux fruits mixés;Pêche
;Sauté de bœuf sauce barbecue;Gratin de brocolis / pommes de terre;Yaourt aux fruits mixés;Pêche
Carottes râpées vinaigrette;Sauté de bœuf sauce barbecue;Purée de butternut;Fromage blanc et Coulis de fruits rouges;
Carottes râpées;Sauté de bœuf sauce bourguignon;Chou romanesco / pâtes;Polenta au lait;
Betteraves vinaigrette;Sauté de boeuf sauce façon tajine;Semoule;Carré;Kiwi
Carottes râpées;Sauté de bœuf sauce façon tajine;Petits pois et céréales méditerranéennes;Yaourt citron Les 2 vaches;
Chou chinois et dés d'emmental;Sauté de bœuf sauce miroton;Carottes;;Crêpe à la confiture
Velouté de patate douce;Sauté de bœuf sauce miroton;Haricots verts;;Banane
Duo de chou blanc et rouge;Sauté de bœuf sauce miroton;Haricots beurre / Pommes de terre;Fromage blanc et madeleine longue;
;Sauté de bœuf sauce pain d'épices;Brocolis et coquillettes;Carré;Pomme
Tomates vinaigrette à la ciboulette;Sauté de bœuf sauce paprika;Gratin de brocolis;Fol Epi;Cake pêche-menthe
;Sauté de bœuf sauce piquante;Carottes et lentilles;Yaourt aromatisé;Pomme
Carottes râpées et mozzarella;Sauté de bœuf sauce poivrade;Purée de pois cassés;;Yaourt brassé sucré
;Sauté de bœuf sauce provençale;Pommes rissolées;Fromage frais aux fruits;Clémentine Global Gap
;Sauté de bœuf sauce provençale;Pommes paillasson;Fol Epi;Fraises
Houmous;Sauté de bœuf sauce provençale;Petits pois;Yaourt aux fruits mixés;Abricot
Saucisson à l'ail;Sauté de bœuf sauce tajine;Semoule;Pointe de brie;Pomme
;Sauté de bœuf sauce tomate;Chou-fleur béchamel et semoule;Fromage blanc sucré;Banane
;Sauté de bœuf sauce tomate origan;Gratin de brocolis et pommes de terre;Yaourt à la vanille;Pomme
Salade de coquillettes au thon;Sauté de bœuf sauce tomate origan;Petits pois;Coulommiers;Nectarine
Salade de coquillettes au thon;Sauté de bœuf sauce tomate origan;Petits pois;Coulommiers;Nectarine
Tartine thon-ciboulette;Sauté de bœuf strogonoff;Poêlée de carottes et pomme de terre;Rondelé;Pomme
Pastèque;Sauté de bœuf Strogonoff;Petit pois;Carré;Beignet aux pommes
Velouté de carottes;Sauté de bœuf Strogonoff;"Pommes ""paillasson""";Tomme noire;"Fruit de saison ""Clémentine"""
Salade de riz et thon;Sauté de bœuf Strogonoff;Ratatouille;P'tit Louis;Pêche
Tartine carotte-maïs, fromage blanc et cream cheese;Sauté de bœuf Strogonoff;Semoule;;Yaourt aux fruits mixés
;Sauté de dinde;Haricots verts et pommes de terre;Fromage à tartiner;Ananas
;Sauté de dinde  au romarin;Petits pois;Gouda;Abricots
Concombre vinaigrette;Sauté de dinde à l'ancienne;Petits pois à l'étuvée;Coulommiers;Beignet aux pommes
Concombre vinaigrette;Sauté de dinde à l'indienne;Riz créole;Carré;Pomme
Tomates et féta;Sauté de dinde au jus;Gratin de chou-fleur et pommes de terre;;Purée de pêche
Carottes râpées et dés d'emmental;Sauté de dinde au jus;Brocolis béchamel;;Polenta crémeuse au chocolat blanc
;Sauté de dinde au romarin;Carottes et flageolets;Fromage frais aux fruits;Fraises
;Sauté de dinde au romarin;Petits pois;Gouda;Abricots
Concombre vinaigrette;Sauté de dinde au romarin;Carottes;Fol Epi;Cake et coulis fraise-menthe
;Sauté de dinde au romarin;Pommes smiles;Yaourt nature sucré;Pêche
Salade Bio et emmental;Sauté de dinde Label Rouge sauce cervoise;Pommes noisette;;Purée de pommes et poires
Panais rémoulade aux pommes;Sauté de dinde sauce 4 épices;Haricots beurre;;Galette des rois
;Sauté de dinde sauce barbecue;Gratin de brocolis et pommes de terre;Saint Môret;Raisin
;Sauté de dinde sauce barbecue;Panais et Pommes de terre;Camembert;Poire
Salade de coquillettes aux maquereaux;Sauté de dinde sauce colombo;Haricots beurre;Emmental;Banane
;Sauté de dinde sauce Esterel;Carottes et semoule;Yaourt à la vanille;Fraises
;Sauté de dinde sauce Esterel;Légumes racines et blé;Fromage fondu Vache Picon;Banane
Potage de fèves;Sauté de dinde sauce esterel;Jardinière de légumes;Montboissier;Clémentine
Taboulé;Sauté de dinde sauce Esterel;Chutney de courgettes;Chaussée aux moines;Abricots
Mâche et rillettes  de thon;Sauté de dinde sauce Estérel;Flageolets / carottes;Fromage frais Malo nature sucré;
;Sauté de dinde sauce forestière;Petits pois/Coquillettes;Brie;Pomme
;Sauté de dinde sauce miel poivron;Ratatouille et épautre, boulgour à la tomate;Tomme noire;Poire
Betteraves vinaigrette;Sauté de dinde sauce miel poivrons;Purée de haricots verts;Cantal;Pêche
;Sauté de dinde sauce paprika;Brunoise de légumes et blé;Fromage blanc;Pomme
;Sauté de dinde sauce paprika;Gratin de chou-fleur;Camembert;Kiwi
Pâté de volaille;Sauté de dinde sauce suprême;Haricots verts;Mélusin;Cloche en chocolat
;Sauté de dinde sauce yassa;Semoule et butternut;Camembert;Raisin
Carottes râpées;Sauté de porc;Petits pois;;Polenta au lait au chocolat
Pastèque;Sauté de porc;Purée de brocolis et pommes de terre;Yaourt aromatisé;
Bouillon alphabet;Sauté de porc  sauce arrabiata;Haricots verts;Tomme noire;Ananas
Melon;Sauté de porc à la moutarde à l'ancienne;Petits pois;Mélusin;Chou vanille sauce chocolat
Salade de coquillettes au thon;Sauté de porc à l'ancienne;Carottes;Coulommiers;Pomme
Salade asiatique;Sauté de porc au caramel;Riz cantonnais;;Gâteau à la banane et noix de coco
Potage de légumes au fromage frais;Sauté de porc au curry;Riz;;Mangue
Concombre façon tzatzíki;Sauté de porc au curry;Haricots verts;;Semoule au lait
Crêpe au fromage;Sauté de porc au romarin;Semoule;Yaourt aromatisé;Abricots
;Sauté de porc au romarin;Flageolets;Fromage blanc sucré;Banane
Salade de coquillettes au thon;Sauté de porc au romarin;Gratin de chou-fleur;P'tit Malin aux fruits;Poire
;Sauté de porc aux pruneaux;Semoule;Fromage blanc et coulis de fruits rouges;Banane
Potage de légumes verts au fromage frais;Sauté de porc Label Rouge au curry;Semoule;;Banane
;Sauté de porc Label Rouge sauce barbecue;Haricots verts;Emmental;Cake aux pépites de chocolat
;Sauté de porc Label Rouge sauce miroton;Carottes Locales;Gouda;Moelleux Pomme-Figue aux œufs Bio
Carottes râpées sauce vinaigrette;Sauté de porc Label Rouge sauce moutarde;Coquillettes Bio;;Fromage blanc sucré
Velouté de saison (navets);Sauté de porc sauce arrabiata;Haricots verts;Emmental;Galette des Rois
Carottes râpées vinaigrette;Sauté de porc sauce barbecue;Printanière de légumes;Yaourt nature sucré brassé;
Velouté de potiron et fromage frais;Sauté de Porc sauce bobotie;Semoule;;Clémentine
Tartine surimi-paprika;Sauté de porc sauce caramel;Chou-fleur béchamel;Yaourt nature sucré Le P'tit Gallo;Pomme
Céleri rémoulade et pommes;Sauté de porc sauce champignon crémée;Penne semi-complète;Yaourt nature sucré Bio Le P'tit Gallo;
Tartine de potiron, fromage frais, ciboulette et pain nordique;Sauté de porc sauce champignon crémée;Gratin de chou-fleur et pommes de terre;Gouda;Banane
Pomelo et sucre;Sauté de porc sauce curry;Riz;Flan chocolat;
Velouté de potiron;Sauté de porc sauce curry;Brunoise de légumes / Semoule;Mimolette;Banane
Céleri rémoulade;Sauté de porc sauce curry;Semoule;Yaourt framboise/abricot;
;Sauté de porc sauce diable;Pommes smiles;Yaourt vanille;Fraises
Betteraves vinaigrette;Sauté de porc sauce dijonnaise;Haricots verts;Tomme des Pyrénées;Tarte basque
;Sauté de porc sauce esterel;Purée de pommes de terre;Yaourt aromatisé;Pomme
;Sauté de porc sauce Estérel;Pommes smiles;Yaourt du Lycée des Vergers;Pêche
;Sauté de porc sauce miroton;Semoule;Yaourt à la vanille;Pomme
;Sauté de porc sauce miroton;Carottes et pommes de terre;Gouda;Banane
Velouté de patates douces fromage frais;Sauté de porc sauce miroton;Petits pois;;Pomme
Œufs durs mayonnaise;Sauté de porc sauce moutarde;Carottes;Mélusin;Eclair au chocolat
Carottes râpées et Mozzarella;Sauté de porc sauce moutarde;Chou-fleur et riz;Yaourt nature sucré;
Potage Tourangelle au fromage frais;Sauté de porc sauce moutarde;Macaronis semi-complète;;Ananas
